,date,sender,transaction_amount,balance,transaction_type
0,01-01-2014,Eve,66.71,694.1093948,withdrawal
1,01-01-2014,Eve,11.3,792.7036586,deposit
2,01-01-2014,David,64.41,793.0077558,deposit
3,01-01-2014,Alice,512.52,7.571755606,withdrawal
4,01-01-2014,Alice,41.55,365.0528091,withdrawal
5,01-01-2014,Alice,45.62,353.1094643,withdrawal
6,01-01-2014,Charlie,183.25,519.3436504,deposit
7,02-01-2014,Alice,167.38,173.0838362,withdrawal
8,02-01-2014,David,38.71,315.3405503,withdrawal
9,02-01-2014,Charlie,33.51,348.3615599,withdrawal
10,02-01-2014,Alice,24.88,349.3945738,withdrawal
11,02-01-2014,Eve,394.78,651.7812565,deposit
12,02-01-2014,David,212.52,113.8038883,withdrawal
13,03-01-2014,Bob,230.83,-56.96938059,withdrawal
14,03-01-2014,David,48.04,15.41211525,withdrawal
15,03-01-2014,Eve,271.77,-69.17150909,withdrawal
16,03-01-2014,David,613.43,945.9747452,deposit
17,03-01-2014,Bob,36.26,226.1339594,deposit
18,03-01-2014,David,123.46,236.2236226,deposit
19,04-01-2014,David,128.42,259.6903486,withdrawal
20,04-01-2014,David,112.71,440.6721723,deposit
21,04-01-2014,Bob,207.13,456.0326533,deposit
22,04-01-2014,David,126.11,193.8660709,withdrawal
23,04-01-2014,Charlie,342.97,-63.91906707,withdrawal
24,04-01-2014,David,533.35,760.8584633,deposit
25,05-01-2014,Eve,19.96,170.0816216,deposit
26,05-01-2014,David,146.27,-145.7390205,withdrawal
27,05-01-2014,David,37.38,115.55646,withdrawal
28,05-01-2014,Charlie,300.32,-109.7446001,withdrawal
29,05-01-2014,Alice,71.5,291.6376975,deposit
30,05-01-2014,Alice,177.76,105.1980341,withdrawal
31,06-01-2014,Alice,208.11,208.11,deposit
32,06-01-2014,Bob,360.36,360.36,deposit
33,06-01-2014,Charlie,621.16,621.16,deposit
34,06-01-2014,Bob,413.25,-413.25,withdrawal
35,07-01-2014,Eve,141.55,-141.55,withdrawal
36,07-01-2014,David,206.64,-118.0643137,withdrawal
37,07-01-2014,Bob,123.13,-97.2755846,withdrawal
38,07-01-2014,Alice,201.09,-201.09,withdrawal
39,07-01-2014,David,129.14,167.2068221,deposit
40,07-01-2014,Eve,896.58,1034.059519,deposit
41,07-01-2014,Eve,76.12,158.270445,deposit
42,08-01-2014,Alice,435.58,-435.58,withdrawal
43,08-01-2014,Charlie,36.26,-36.26,withdrawal
44,08-01-2014,Alice,25.63,25.63,deposit
45,08-01-2014,Alice,138.04,138.04,deposit
46,08-01-2014,Bob,800.92,-800.92,withdrawal
47,08-01-2014,Alice,12.17,-12.17,withdrawal
48,08-01-2014,Alice,861.86,861.86,deposit
49,08-01-2014,Bob,686.58,-686.58,withdrawal
50,09-01-2014,Alice,69.23,69.23,deposit
51,09-01-2014,Alice,443.29,-443.29,withdrawal
52,10-01-2014,Alice,108.24,-108.24,withdrawal
53,10-01-2014,Bob,94.26,94.26,deposit
54,10-01-2014,Bob,127.84,127.84,deposit
55,10-01-2014,Eve,204.11,-204.11,withdrawal
56,10-01-2014,Alice,102.87,102.87,deposit
57,10-01-2014,Alice,121.05,-121.05,withdrawal
58,10-01-2014,Charlie,465.9,-465.9,withdrawal
59,10-01-2014,Charlie,1.56,1.56,deposit
60,11-01-2014,Bob,153.82,-153.82,withdrawal
61,11-01-2014,Alice,622.75,622.75,deposit
62,11-01-2014,Charlie,45.28,45.28,deposit
63,11-01-2014,Bob,122.83,122.83,deposit
64,11-01-2014,Charlie,3.1,3.1,deposit
65,12-01-2014,Alice,58.14,-58.14,withdrawal
66,12-01-2014,Bob,186.85,-186.85,withdrawal
67,12-01-2014,Alice,37.15,-37.15,withdrawal
68,12-01-2014,David,60.64,-60.64,withdrawal
69,12-01-2014,Charlie,390.17,-390.17,withdrawal
70,12-01-2014,David,93.83,93.83,deposit
71,12-01-2014,Bob,105.29,-105.29,withdrawal
72,12-01-2014,Charlie,428.84,-428.84,withdrawal
73,12-01-2014,David,19.91,19.91,deposit
74,12-01-2014,Charlie,19.31,-19.31,withdrawal
75,12-01-2014,Eve,369.33,369.33,deposit
76,12-01-2014,Charlie,232.5,232.5,deposit
77,13-01-2014,David,48.57,-48.57,withdrawal
78,13-01-2014,Eve,300.91,-300.91,withdrawal
79,13-01-2014,Charlie,77.05,-77.05,withdrawal
80,13-01-2014,Alice,35.38,-35.38,withdrawal
81,13-01-2014,David,85.47,85.47,deposit
82,13-01-2014,Eve,57.3,57.3,deposit
83,13-01-2014,Charlie,76.29,-76.29,withdrawal
84,13-01-2014,David,201.18,-201.18,withdrawal
85,13-01-2014,Charlie,108.42,-108.42,withdrawal
86,14-01-2014,Bob,122.01,122.01,deposit
87,14-01-2014,Eve,162.82,162.82,deposit
88,14-01-2014,David,573.16,-573.16,withdrawal
89,14-01-2014,Bob,587.92,-587.92,withdrawal
90,14-01-2014,Bob,135.82,-135.82,withdrawal
91,14-01-2014,Bob,22.62,22.62,deposit
92,15-01-2014,David,40.96,40.96,deposit
93,15-01-2014,Bob,81.09,-81.09,withdrawal
94,16-01-2014,Charlie,211.11,-211.11,withdrawal
95,16-01-2014,Eve,349.67,-349.67,withdrawal
96,16-01-2014,Eve,662.33,-662.33,withdrawal
97,16-01-2014,David,56.72,56.72,deposit
98,16-01-2014,Eve,11.6,11.6,deposit
99,16-01-2014,Eve,16.9,16.9,deposit
100,16-01-2014,Bob,0.37,-0.37,withdrawal
101,16-01-2014,Charlie,236.52,236.52,deposit
102,16-01-2014,David,169.01,169.01,deposit
103,16-01-2014,David,26.47,26.47,deposit
104,16-01-2014,Alice,243.23,-243.23,withdrawal
105,16-01-2014,Alice,363.51,363.51,deposit
106,17-01-2014,Eve,52.87,52.87,deposit
107,17-01-2014,Charlie,127.83,127.83,deposit
108,17-01-2014,Eve,80.82,80.82,deposit
109,17-01-2014,Eve,16.03,-16.03,withdrawal
110,17-01-2014,Bob,36.41,36.41,deposit
111,17-01-2014,Alice,221.02,221.02,deposit
112,17-01-2014,Bob,174.3,-174.3,withdrawal
113,17-01-2014,Eve,182.45,-182.45,withdrawal
114,17-01-2014,Alice,605.78,605.78,deposit
115,18-01-2014,Charlie,92.05,92.05,deposit
116,18-01-2014,Charlie,51.85,-51.85,withdrawal
117,18-01-2014,David,168.54,-168.54,withdrawal
118,18-01-2014,Eve,270.1,270.1,deposit
119,18-01-2014,Eve,233.35,233.35,deposit
120,18-01-2014,David,25.06,-25.06,withdrawal
121,19-01-2014,Charlie,684.8,684.8,deposit
122,19-01-2014,David,51.59,-51.59,withdrawal
123,19-01-2014,Charlie,53.56,-53.56,withdrawal
124,19-01-2014,Charlie,34.07,-34.07,withdrawal
125,19-01-2014,Bob,53.84,-53.84,withdrawal
126,19-01-2014,Charlie,81.2,81.2,deposit
127,19-01-2014,David,270.87,-270.87,withdrawal
128,19-01-2014,Bob,418.83,418.83,deposit
129,19-01-2014,Alice,59.18,59.18,deposit
130,19-01-2014,Bob,887.47,-887.47,withdrawal
131,19-01-2014,Bob,672.22,-672.22,withdrawal
132,19-01-2014,Charlie,409.9,409.9,deposit
133,19-01-2014,Charlie,44.03,44.03,deposit
134,19-01-2014,Charlie,168.85,-168.85,withdrawal
135,19-01-2014,Eve,128.99,128.99,deposit
136,19-01-2014,Bob,125.99,125.99,deposit
137,19-01-2014,Charlie,11.25,11.25,deposit
138,19-01-2014,Bob,377.16,377.16,deposit
139,19-01-2014,Bob,159.24,-159.24,withdrawal
140,20-01-2014,Bob,206.14,-206.14,withdrawal
141,20-01-2014,Charlie,36.54,-36.54,withdrawal
142,21-01-2014,Bob,224.85,224.85,deposit
143,21-01-2014,Eve,344.45,344.45,deposit
144,21-01-2014,Bob,143.96,143.96,deposit
145,21-01-2014,Alice,55.62,55.62,deposit
146,21-01-2014,Charlie,104.86,104.86,deposit
147,21-01-2014,Bob,83.53,83.53,deposit
148,21-01-2014,Alice,133.9,133.9,deposit
149,21-01-2014,Alice,40.82,40.82,deposit
150,21-01-2014,David,43.53,43.53,deposit
151,21-01-2014,David,186.29,-186.29,withdrawal
152,22-01-2014,Bob,213.09,213.09,deposit
153,22-01-2014,Charlie,124.13,-124.13,withdrawal
154,22-01-2014,Eve,616.07,-616.07,withdrawal
155,22-01-2014,Bob,68.21,-68.21,withdrawal
156,22-01-2014,David,484.8,-484.8,withdrawal
157,22-01-2014,Bob,383.77,383.77,deposit
158,22-01-2014,Alice,27.87,-27.87,withdrawal
159,22-01-2014,David,48.29,-48.29,withdrawal
160,23-01-2014,Bob,119.1,-119.1,withdrawal
161,23-01-2014,Eve,308.26,308.26,deposit
162,23-01-2014,David,454.77,454.77,deposit
163,23-01-2014,Bob,682.67,-682.67,withdrawal
164,23-01-2014,Eve,65.37,-65.37,withdrawal
165,23-01-2014,Alice,345.67,345.67,deposit
166,23-01-2014,Charlie,2.04,-2.04,withdrawal
167,23-01-2014,Alice,531.7,-531.7,withdrawal
168,23-01-2014,Eve,41.81,41.81,deposit
169,24-01-2014,David,155.74,155.74,deposit
170,24-01-2014,Alice,142.9,-142.9,withdrawal
171,24-01-2014,Bob,2.62,-2.62,withdrawal
172,24-01-2014,David,39.84,39.84,deposit
173,24-01-2014,Charlie,137.68,137.68,deposit
174,24-01-2014,Charlie,279.32,279.32,deposit
175,25-01-2014,David,115,115,deposit
176,25-01-2014,David,107,107,deposit
177,25-01-2014,David,1.34,-1.34,withdrawal
178,25-01-2014,David,848.83,848.83,deposit
179,25-01-2014,Bob,237.85,237.85,deposit
180,25-01-2014,Eve,345.87,-345.87,withdrawal
181,25-01-2014,Eve,352.67,-352.67,withdrawal
182,25-01-2014,Charlie,249.28,249.28,deposit
183,25-01-2014,David,66.61,-66.61,withdrawal
184,25-01-2014,Bob,93.94,-93.94,withdrawal
185,26-01-2014,Eve,137.52,137.52,deposit
186,26-01-2014,Bob,269.62,-269.62,withdrawal
187,26-01-2014,Charlie,156.98,-156.98,withdrawal
188,26-01-2014,Charlie,105.66,-105.66,withdrawal
189,26-01-2014,Charlie,379.07,-379.07,withdrawal
190,26-01-2014,Charlie,61.23,61.23,deposit
191,26-01-2014,Eve,67.69,-67.69,withdrawal
192,27-01-2014,David,8.69,-8.69,withdrawal
193,27-01-2014,Charlie,4.64,-4.64,withdrawal
194,27-01-2014,Alice,630.82,-630.82,withdrawal
195,27-01-2014,Eve,206.14,206.14,deposit
196,27-01-2014,Charlie,348.88,348.88,deposit
197,27-01-2014,Charlie,130.95,-130.95,withdrawal
198,28-01-2014,David,117.7,-117.7,withdrawal
199,28-01-2014,Eve,834.89,-834.89,withdrawal
200,28-01-2014,Bob,2.66,-2.66,withdrawal
201,28-01-2014,Bob,338.44,-338.44,withdrawal
202,28-01-2014,Eve,382.51,-382.51,withdrawal
203,28-01-2014,Bob,591.03,-591.03,withdrawal
204,28-01-2014,Bob,174.25,-174.25,withdrawal
205,28-01-2014,Bob,312.97,312.97,deposit
206,28-01-2014,David,8.89,-8.89,withdrawal
207,28-01-2014,David,69.78,-69.78,withdrawal
208,28-01-2014,Bob,60.65,-60.65,withdrawal
209,28-01-2014,Alice,131.09,131.09,deposit
210,29-01-2014,David,114.17,114.17,deposit
211,29-01-2014,Bob,300.47,300.47,deposit
212,29-01-2014,David,21.09,21.09,deposit
213,29-01-2014,David,2.76,2.76,deposit
214,29-01-2014,Eve,145.55,145.55,deposit
215,29-01-2014,Alice,157.56,-157.56,withdrawal
216,29-01-2014,David,10.48,-10.48,withdrawal
217,29-01-2014,Charlie,131.4,-131.4,withdrawal
218,29-01-2014,Alice,399.91,399.91,deposit
219,29-01-2014,Eve,180.95,180.95,deposit
220,29-01-2014,Alice,87.68,-87.68,withdrawal
221,29-01-2014,Bob,468.05,-468.05,withdrawal
222,30-01-2014,Bob,1248.84,-1248.84,withdrawal
223,30-01-2014,Charlie,237.93,237.93,deposit
224,30-01-2014,Bob,597.56,-597.56,withdrawal
225,30-01-2014,Alice,65.52,65.52,deposit
226,30-01-2014,David,38.75,38.75,deposit
227,31-01-2014,Bob,5.34,-5.34,withdrawal
228,31-01-2014,Alice,50.09,-50.09,withdrawal
229,31-01-2014,Charlie,263.72,-263.72,withdrawal
230,31-01-2014,David,49.19,49.19,deposit
231,31-01-2014,Alice,18.83,18.83,deposit
232,31-01-2014,Bob,102.87,-102.87,withdrawal
233,31-01-2014,Eve,272.86,272.86,deposit
234,31-01-2014,Bob,190.06,190.06,deposit
235,31-01-2014,David,61.51,-61.51,withdrawal
236,31-01-2014,David,94.51,-94.51,withdrawal
237,01-02-2014,Charlie,483.77,483.77,deposit
238,01-02-2014,Alice,210.91,-210.91,withdrawal
239,01-02-2014,Alice,396.23,396.23,deposit
240,01-02-2014,David,97.49,97.49,deposit
241,01-02-2014,Bob,821.48,821.48,deposit
242,01-02-2014,David,227.57,227.57,deposit
243,01-02-2014,David,88.31,88.31,deposit
244,02-02-2014,Bob,65.33,65.33,deposit
245,02-02-2014,Eve,9.08,9.08,deposit
246,02-02-2014,Charlie,402.78,402.78,deposit
247,02-02-2014,David,47.79,-47.79,withdrawal
248,02-02-2014,Alice,76.57,76.57,deposit
249,03-02-2014,David,39.56,-39.56,withdrawal
250,03-02-2014,Alice,77.05,-77.05,withdrawal
251,03-02-2014,Bob,190,-190,withdrawal
252,03-02-2014,Eve,138.8,138.8,deposit
253,03-02-2014,Eve,248.16,-248.16,withdrawal
254,03-02-2014,David,81.24,-81.24,withdrawal
255,04-02-2014,Alice,47.81,47.81,deposit
256,04-02-2014,Charlie,195.15,-195.15,withdrawal
257,04-02-2014,David,320.02,320.02,deposit
258,04-02-2014,David,226.89,226.89,deposit
259,04-02-2014,Bob,319.19,-319.19,withdrawal
260,04-02-2014,Eve,34.93,-34.93,withdrawal
261,04-02-2014,Eve,25.52,-25.52,withdrawal
262,04-02-2014,Bob,20.63,20.63,deposit
263,05-02-2014,Eve,20.69,20.69,deposit
264,05-02-2014,Alice,219.24,219.24,deposit
265,05-02-2014,Bob,118.66,118.66,deposit
266,05-02-2014,Charlie,245.63,245.63,deposit
267,05-02-2014,Charlie,360.94,360.94,deposit
268,05-02-2014,Eve,8.06,8.06,deposit
269,05-02-2014,Bob,208.8,-208.8,withdrawal
270,05-02-2014,Alice,22.18,22.18,deposit
271,06-02-2014,Charlie,143.6,143.6,deposit
272,06-02-2014,David,162.51,162.51,deposit
273,06-02-2014,Eve,37.11,37.11,deposit
274,06-02-2014,Eve,2.55,-2.55,withdrawal
275,06-02-2014,Bob,95.24,-95.24,withdrawal
276,06-02-2014,Charlie,79.69,-79.69,withdrawal
277,07-02-2014,David,25.32,-25.32,withdrawal
278,07-02-2014,Alice,7.13,-7.13,withdrawal
279,07-02-2014,David,100.5,-100.5,withdrawal
280,07-02-2014,Alice,111.39,-111.39,withdrawal
281,07-02-2014,Bob,698.28,698.28,deposit
282,07-02-2014,Alice,19.41,19.41,deposit
283,07-02-2014,Alice,250.79,-250.79,withdrawal
284,07-02-2014,Alice,204.31,-204.31,withdrawal
285,07-02-2014,Eve,315.27,-315.27,withdrawal
286,07-02-2014,David,5.63,5.63,deposit
287,08-02-2014,Bob,112.99,112.99,deposit
288,08-02-2014,David,14.16,-14.16,withdrawal
289,08-02-2014,Eve,112.96,112.96,deposit
290,08-02-2014,Alice,274.45,274.45,deposit
291,08-02-2014,Alice,469.69,-469.69,withdrawal
292,08-02-2014,Eve,105.26,105.26,deposit
293,08-02-2014,Bob,237.39,237.39,deposit
294,08-02-2014,Alice,564.27,564.27,deposit
295,08-02-2014,Eve,178.27,178.27,deposit
296,09-02-2014,Alice,470.95,470.95,deposit
297,09-02-2014,Eve,120.44,-120.44,withdrawal
298,09-02-2014,Charlie,26.76,26.76,deposit
299,09-02-2014,David,127.57,127.57,deposit
300,09-02-2014,Alice,499.94,499.94,deposit
301,09-02-2014,Bob,42.36,-42.36,withdrawal
302,09-02-2014,David,289.01,289.01,deposit
303,09-02-2014,Alice,20.88,-20.88,withdrawal
304,09-02-2014,Alice,264.83,264.83,deposit
305,09-02-2014,Charlie,56.84,-56.84,withdrawal
306,10-02-2014,Alice,38.67,38.67,deposit
307,10-02-2014,Eve,120.4,120.4,deposit
308,10-02-2014,Eve,17.49,-17.49,withdrawal
309,10-02-2014,Charlie,49.94,-49.94,withdrawal
310,10-02-2014,Alice,62.86,62.86,deposit
311,10-02-2014,David,27.98,27.98,deposit
312,10-02-2014,Charlie,89.99,89.99,deposit
